Data_Type,Data_Size
request,30
response,29
request,28
response,37
request,20
response,37
request,27
response,29
request,27
response,29
request,27
response,40
request,83
response,52
request,27
response,29
request,27
response,32
request,25
response,29
request,28
response,29
request,25
response,40
request,28
response,40
request,81
response,53
request,28
response,40
request,54
response,37
request,27
response,29
request,27
response,40
request,105
response,33
request,30
response,29
request,28
response,37
request,20
response,37
request,27
response,29
request,27
response,29
request,27
response,40
request,83
response,52
request,27
response,29
request,27
response,32
request,25
response,29
request,28
response,29
request,25
response,40
request,28
response,40
request,81
response,53
request,28
response,40
request,54
response,37
request,27
response,29
request,27
response,40
request,105
response,33
request,12
response,40
request,37
response,493
request,42
response,12
request,11
response,40
request,44
response,4
request,54
response,46
request,55
response,46
request,63
response,46
request,68
response,47
request,55
response,100
request,46
response,71
request,54
response,71
request,46
response,31
